TAS,TAS05,TAS07,TAS09,TAS11,TAS13,TAS15,TAS17,TAS19,ER30000,ER30001,ER30002,ER31988,ER31989,ER32000,ER32022,ER32034,ER32036,ER32049,V17701,V17703,V17798,ER30642,ER30643,ER30644,ER30645,ER30653,ER30657,ER30659,V19001,V19003,V19098,ER30689,ER30690,ER30691,ER30692,ER30699,ER30703,V20301,V20303,V20398,ER30733,ER30734,ER30735,ER30736,ER30744,ER30748,V21601,V21603,ER30806,ER30807,ER30808,ER30809,ER30816,ER30820,ER2001,ER4157,ER33101,ER33102,ER33103,ER33104,ER33111,ER33115,ER5001,ER6997,ER33201,ER33202,ER33203,ER33204,ER33211,ER33215,ER7001,ER9248,ER33301,ER33302,ER33303,ER33304,ER33311,ER33315,ER10001,ER10004,ER33401,ER33402,ER33403,ER33404,ER33411,ER33415,ER13001,ER13005,ER33501,ER33502,ER33503,ER33504,ER33512,ER33516,ER17001,ER17005,ER33601,ER33602,ER33603,ER33604,ER33612,ER33616,ER21001,ER21004,ER33701,ER33702,ER33703,ER33704,ER33712,ER33716,ER25001,ER25004,ER33801,ER33802,ER33803,ER33804,ER33813,ER33817,ER33838F,TA050001,TA050189,TA050953,ER36001,ER36004,ER33901,ER33902,ER33903,ER33904,ER33913,ER33917,ER33938F,TA070001,TA070207,TA070934,ER42001,ER42004,ER34001,ER34002,ER34003,ER34004,ER34016,ER34020,ER34032D,TA090001,TA090222,TA090998,ER47301,ER47304,ER34101,ER34102,ER34103,ER34104,ER34116,ER34119,ER34144D,TA110001,TA110223,TA111140,ER53001,ER53004,ER34201,ER34202,ER34203,ER34204,ER34216,ER34230,ER34251D,TA130001,TA130222,TA131244,ER60001,ER60004,ER34301,ER34302,ER34303,ER34305,ER34317,ER34349,ER34401D,TA150001,TA150214,TA151304,ER66001,ER66004,ER34501,ER34502,ER34503,ER34504,ER34516,ER34548,ER34639,TA170001,TA170204,TA171991,ER72001,ER72004,ER34701,ER34702,ER34703,ER34704,ER34716,ER34752,ER34848,TA190001,TA190257,TA192198
2,,,,,,,1.0,1.0,3,7,49,0,0,2,2,0,9999,2,3.0,34.0,5.0,2730,0,0,0,0,0,0,3.0,34.0,5.0,2967,0,0,0,0,0,4.0,34.0,5.0,1584,0,0,0,0,0,4.0,34.0,4603,0,0,0,0,0,6.0,39.0,7114,0,0,0,0,0,6.0,39.0,6237,0,0,0,0,0,6.0,39.0,995,0,0,0,0,0,7.0,39.0,1910,0,0,0,0,0,8.0,39.0,6278,6,60,1,0,0,6.0,39.0,6030,4,30,2,0,0,8.0,39.0,5115,4,30,4,0,0,6.0,39.0,82,4,30,6,0,0,0,,,,7.0,39.0,904,4,30,8,0,0,0,,,,5.0,39.0,272,4,30,10,0,0,0,,,,5.0,39.0,43,4,30,12,0,0,0,,,,3.0,39.0,3305,4,30,14,0,0,0,,,,1.0,39.0,2733,3,30,16,7,9,0,,,,2.0,39.0,5140,1,10,18,7,11,0,2.0,0.0,0.0,1.0,39.0,4077,1,10,20,3,11,0,2.0,0.0,0.0
4,,,1.0,,1.0,1.0,1.0,,3,10,34,5,0,2,2,1,2016,1,3.0,32.0,2.0,4356,0,0,0,0,0,0,3.0,32.0,3.0,2783,3,30,1,0,0,4.0,32.0,4.0,4683,4,30,1,0,0,4.0,32.0,4213,4,30,2,0,0,6.0,37.0,4678,4,30,3,0,0,6.0,37.0,4928,4,30,4,0,0,6.0,37.0,8439,4,30,5,0,0,7.0,37.0,1336,4,30,6,0,0,8.0,37.0,1577,3,30,8,0,0,6.0,37.0,257,3,30,10,0,0,8.0,37.0,2507,3,30,12,0,0,6.0,37.0,523,3,30,14,0,0,0,,,,7.0,37.0,6742,3,30,16,1,11,2560,,,,5.0,37.0,3276,3,30,18,3,12,4200,3.0,476.0,0.0,5.0,37.0,8869,1,10,21,1,13,0,,,,3.0,37.0,7423,2,22,22,3,13,0,2.0,476.0,0.0,1.0,37.0,5033,1,10,24,1,13,0,2.0,380.0,0.0,2.0,37.0,1566,2,20,26,1,13,0,2.0,5400.0,0.0,1.0,37.0,3136,2,20,28,1,13,0,,,
5,,1.0,1.0,1.0,1.0,1.0,,,3,14,31,5,0,2,2,0,9999,2,3.0,4.0,4.0,6079,4,30,2,0,0,0,3.0,4.0,4.0,7789,4,30,3,0,0,4.0,4.0,4.0,4022,4,30,4,0,0,4.0,4.0,9,4,30,5,0,0,6.0,6.0,3852,4,30,6,0,0,6.0,6.0,2921,4,30,7,0,0,6.0,6.0,3101,4,30,8,0,0,7.0,6.0,1179,4,30,8,0,0,8.0,6.0,1579,4,30,11,0,0,6.0,6.0,260,4,30,13,0,0,8.0,6.0,3853,4,30,15,0,0,6.0,6.0,736,3,30,17,1,11,0,,,,7.0,4.0,4149,2,22,19,1,12,0,4.0,540.0,0.0,5.0,6.0,713,1,10,21,1,12,0,3.0,500.0,0.0,5.0,4.0,1780,1,10,23,6,12,0,2.0,510.0,0.0,3.0,6.0,1284,1,10,25,5,12,0,2.0,0.0,0.0,1.0,6.0,7731,1,10,27,1,12,0,2.0,422.0,0.0,2.0,6.0,1669,2,22,29,3,12,0,,,,1.0,6.0,2897,2,22,31,6,12,0,,,
4,,,,,1.0,1.0,1.0,1.0,3,14,33,0,0,2,0,0,9999,2,3.0,4.0,1.0,7077,0,0,0,0,0,0,3.0,4.0,2.0,8366,0,0,0,0,0,4.0,4.0,2.0,1742,0,0,0,0,0,4.0,4.0,363,0,0,0,0,0,6.0,6.0,3850,0,0,0,0,0,6.0,6.0,2920,4,30,1,0,0,6.0,6.0,2015,4,30,1,0,0,7.0,6.0,681,4,30,2,0,0,8.0,6.0,669,4,30,4,0,0,6.0,6.0,190,4,30,6,0,0,8.0,6.0,2703,4,30,8,0,0,6.0,6.0,677,4,30,10,0,0,0,,,,7.0,6.0,2668,4,30,12,0,0,400,,,,5.0,6.0,126,4,30,14,0,0,400,,,,5.0,6.0,964,3,30,16,7,10,600,,,,3.0,6.0,1865,51,30,18,7,0,4000,2.0,500.0,0.0,1.0,6.0,2839,51,30,20,0,0,0,2.0,586.0,0.0,2.0,6.0,1723,1,10,22,1,16,0,2.0,3600.0,0.0,1.0,17.0,1937,1,10,24,7,17,0,2.0,4600.0,0.0
1,,,,,,,1.0,,3,16,34,0,0,2,0,0,9999,2,3.0,4.0,2.0,6675,0,0,0,0,0,0,3.0,4.0,2.0,8220,0,0,0,0,0,4.0,4.0,2.0,8623,0,0,0,0,0,4.0,4.0,6425,0,0,0,0,0,6.0,6.0,4682,0,0,0,0,0,6.0,6.0,10181,0,0,0,0,0,6.0,6.0,5671,0,0,0,0,0,7.0,6.0,1721,0,0,0,0,0,8.0,6.0,754,4,30,1,0,0,6.0,6.0,770,3,30,2,0,0,8.0,6.0,2619,3,30,4,0,0,6.0,6.0,1063,3,30,6,0,0,0,,,,7.0,6.0,3618,3,30,8,0,0,0,,,,5.0,6.0,8053,3,30,10,0,0,0,,,,5.0,6.0,8403,3,30,12,0,0,0,,,,,,0,0,0,0,0,0,0,,,,1.0,6.0,6761,3,30,16,1,11,0,,,,2.0,6.0,9035,3,30,19,7,13,0,2.0,2340.0,0.0,,,0,0,0,0,0,0,0,,,
2,1.0,1.0,,,,,,,3,18,38,5,0,2,2,1,2009,1,3.0,4.0,4.0,4972,4,30,4,0,0,0,3.0,4.0,4.0,3296,4,30,5,0,0,4.0,4.0,4.0,2363,4,30,6,0,0,4.0,4.0,3374,4,30,7,0,0,6.0,32.0,16637,3,30,8,0,0,6.0,32.0,8636,3,30,9,0,0,6.0,32.0,8475,3,30,10,0,0,7.0,32.0,690,3,30,11,0,0,8.0,6.0,4157,3,33,13,0,0,6.0,6.0,2801,3,33,15,0,0,8.0,6.0,6239,3,33,17,7,11,6.0,6.0,5647,3,98,19,1,12,3000,5.0,570.0,0.0,7.0,48.0,1047,1,10,21,1,13,0,4.0,593.0,0.0,5.0,48.0,7651,2,20,23,1,13,0,,,,5.0,48.0,2272,2,20,25,1,13,0,,,,,,0,0,0,0,0,0,0,,,,1.0,48.0,1099,2,20,29,1,14,0,,,,2.0,48.0,7631,2,20,31,1,14,0,,,,1.0,48.0,6392,2,20,33,1,14,0,,,
2,,,,,,,1.0,1.0,3,18,42,0,0,2,1,0,9999,2,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,4.0,51.0,10975,0,0,0,0,0,6.0,15.0,11749,0,0,0,0,0,6.0,42.0,8961,0,0,0,0,0,6.0,42.0,4311,0,0,0,0,0,7.0,42.0,687,0,0,0,0,0,8.0,42.0,2069,5,30,1,0,0,6.0,42.0,2802,5,30,3,0,0,8.0,42.0,5713,5,30,6,0,0,6.0,42.0,1321,5,30,7,0,0,0,,,,7.0,42.0,940,5,30,9,0,0,0,,,,5.0,42.0,3582,5,30,12,0,0,0,,,,5.0,42.0,395,4,30,13,0,0,0,,,,3.0,42.0,5977,4,30,16,7,10,0,,,,1.0,42.0,879,4,30,17,7,11,0,,,,2.0,42.0,4401,4,30,19,3,12,18000,2.0,4110.0,0.0,1.0,42.0,4822,4,30,21,1,12,36300,2.0,9999.0,0.0
2,,,,,,,1.0,1.0,3,18,45,0,0,2,0,0,9999,2,3.0,4.0,5.0,4971,0,0,0,0,0,0,3.0,4.0,6.0,3295,0,0,0,0,0,4.0,4.0,5.0,7760,0,0,0,0,0,4.0,4.0,3432,0,0,0,0,0,6.0,6.0,11744,0,0,0,0,0,6.0,6.0,3448,0,0,0,0,0,6.0,32.0,7045,0,0,0,0,0,7.0,32.0,4261,0,0,0,0,0,8.0,32.0,2149,0,0,0,0,0,6.0,32.0,3313,5,30,1,0,0,8.0,2.0,6687,5,30,3,0,0,6.0,32.0,5937,4,30,5,0,0,0,,,,7.0,32.0,7955,5,35,7,0,0,0,,,,5.0,32.0,5016,5,33,9,0,0,0,,,,5.0,32.0,2916,5,33,11,0,0,0,,,,3.0,6.0,7557,4,33,13,0,0,0,,,,1.0,6.0,4651,3,33,15,0,0,0,,,,2.0,6.0,8610,2,30,17,1,11,2500,2.0,4150.0,0.0,1.0,6.0,8839,2,30,20,1,11,15000,2.0,4110.0,0.0
4,,,,,1.0,1.0,1.0,1.0,3,18,189,0,0,2,0,0,9999,2,3.0,4.0,5.0,4971,0,0,0,0,0,0,3.0,4.0,6.0,3295,0,0,0,0,0,4.0,4.0,5.0,7760,0,0,0,0,0,4.0,4.0,3432,0,0,0,0,0,6.0,6.0,11744,0,0,0,0,0,6.0,6.0,3448,0,0,0,0,0,6.0,6.0,4928,0,0,0,0,0,7.0,6.0,1487,6,38,2,0,0,8.0,6.0,1741,4,38,4,0,0,6.0,6.0,3310,3,30,6,0,0,8.0,6.0,6122,3,30,8,0,0,6.0,6.0,1057,3,30,10,0,0,0,,,,7.0,6.0,293,3,30,12,0,0,0,,,,5.0,6.0,3155,3,30,14,0,0,0,,,,5.0,6.0,365,3,30,16,7,9,0,,,,3.0,6.0,3172,3,30,18,7,11,1100,2.0,476.0,0.0,1.0,6.0,30,51,30,20,7,14,0,2.0,234.0,0.0,2.0,6.0,3818,51,30,22,0,0,0,2.0,4760.0,0.0,1.0,6.0,5638,2,30,24,1,15,4000,2.0,2540.0,0.0
5,,1.0,1.0,1.0,1.0,1.0,,,3,22,30,5,0,2,0,0,9999,2,3.0,9.0,2.0,296,2,30,1,0,0,0,3.0,9.0,2.0,2568,2,30,2,0,0,4.0,9.0,3.0,5107,3,30,3,0,0,4.0,9.0,3347,3,30,4,0,0,6.0,12.0,4691,3,30,5,0,0,6.0,12.0,3449,3,30,6,0,0,6.0,12.0,1105,3,30,7,0,0,7.0,12.0,3651,3,30,8,0,0,8.0,12.0,702,3,30,10,0,0,6.0,12.0,6375,3,30,12,0,0,8.0,12.0,5453,2,30,14,0,0,6.0,12.0,4407,2,30,16,7,11,773,,,,7.0,12.0,2585,2,30,18,1,12,700,4.0,460.0,0.0,5.0,12.0,907,2,30,20,1,14,6000,3.0,254.0,0.0,5.0,12.0,1751,2,30,22,1,13,17000,2.0,254.0,0.0,3.0,12.0,1231,2,30,24,1,13,18000,2.0,254.0,0.0,1.0,12.0,669,2,30,26,1,13,15000,2.0,254.0,0.0,2.0,12.0,470,2,30,28,1,13,10847,,,,1.0,12.0,4247,2,30,30,1,13,11000,,,
