current_state,YEAR,working_women,state_code,treatment,post,post_treatment,AGE,EDUC_LEVEL,Child_BIRTHS_ALL_YEAR,RESID_STATE,marriage_dummies
True,9,0.2093023255813953,26,1,0,0,16.05785123966942,6.1735537190082646,0.8925619834710744,26,0.17355371900826447
True,11,0.1621621621621621,26,1,0,0,17.771186440677965,7.822033898305085,0.847457627118644,26,0.211864406779661
True,13,0.3225806451612903,26,1,0,0,19.88135593220339,9.372881355932204,0.923728813559322,26,0.211864406779661
True,15,0.4615384615384615,26,1,0,0,22.103448275862068,12.612068965517242,0.9224137931034483,26,0.2672413793103448
True,17,0.1739130434782608,26,1,0,0,24.076271186440678,13.576271186440678,0.9576271186440678,26,0.22033898305084745
True,19,0.4375,26,1,1,1,26.017391304347825,13.2,1.017391304347826,26,0.23478260869565218
True,9,0.25,40,1,0,0,16.714285714285715,7.571428571428571,0.7857142857142857,40,0.14285714285714285
True,11,0.6,40,1,0,0,19.11764705882353,9.705882352941176,1.1764705882352942,40,0.23529411764705882
True,13,0.5,40,1,0,0,20.9375,10.25,1.1875,40,0.1875
True,15,0.3333333333333333,40,1,0,0,23.41176470588235,11.470588235294118,1.2941176470588236,40,0.17647058823529413
True,17,0.3333333333333333,40,1,0,0,24.9375,12.5625,1.25,40,0.1875
True,19,1.0,40,1,1,1,27.333333333333332,13.0,1.1333333333333333,40,0.2
True,9,0.0,49,1,0,0,15.277777777777779,3.8333333333333335,0.3888888888888889,49,0.3888888888888889
True,11,0.5,49,1,0,0,17.7,7.2,0.45,49,0.4
True,13,0.5,49,1,0,0,19.0,9.2,0.4,49,0.4
True,15,0.6,49,1,0,0,21.066666666666666,10.533333333333333,0.4,49,0.3333333333333333
True,17,0.6666666666666666,49,1,0,0,22.764705882352942,12.411764705882353,0.35294117647058826,49,0.4117647058823529
True,19,0.0,49,1,1,1,25.714285714285715,14.071428571428571,0.6428571428571429,49,0.42857142857142855
True,9,0.3571428571428571,25,1,0,0,16.3,5.8,0.25,25,0.25
True,11,0.2727272727272727,25,1,0,0,18.425,8.65,0.275,25,0.275
True,13,0.4545454545454545,25,1,0,0,20.15,9.8,0.225,25,0.225
True,15,0.3636363636363636,25,1,0,0,21.92105263157895,11.447368421052632,0.21052631578947367,25,0.23684210526315788
True,17,0.4285714285714285,25,1,0,0,24.023809523809526,12.571428571428571,0.2619047619047619,25,0.21428571428571427
True,19,0.5,25,1,1,1,26.23076923076923,13.487179487179487,0.3076923076923077,25,0.2564102564102564
True,9,0.1346153846153846,48,1,0,0,15.353658536585366,5.341463414634147,0.7926829268292683,48,0.17682926829268292
True,11,0.2461538461538461,48,1,0,0,17.33132530120482,8.240963855421686,0.8253012048192772,48,0.1746987951807229
True,13,0.125,48,1,0,0,19.248366013071895,7.973856209150327,0.8104575163398693,48,0.1830065359477124
True,15,0.14,48,1,0,0,21.386904761904763,10.226190476190476,0.8809523809523809,48,0.19047619047619047
True,17,0.1777777777777777,48,1,0,0,23.34375,12.46875,0.85625,48,0.1875
True,19,0.3103448275862069,48,1,1,1,25.251572327044027,13.49685534591195,0.9056603773584906,48,0.1949685534591195
True,9,0.1785714285714285,24,0,0,0,15.935897435897436,6.166666666666667,0.6666666666666666,24,0.10256410256410256
True,11,0.0769230769230769,24,0,0,0,17.865853658536587,7.597560975609756,0.6707317073170732,24,0.10975609756097561
True,13,0.1153846153846153,24,0,0,0,19.875,9.2375,0.6125,24,0.1
True,15,0.2,24,0,0,0,22.19277108433735,11.096385542168674,0.6144578313253012,24,0.12048192771084337
True,17,0.3571428571428571,24,0,0,0,24.0,12.14102564102564,0.5641025641025641,24,0.11538461538461539
True,19,0.1,24,0,1,0,25.963414634146343,12.341463414634147,0.6707317073170732,24,0.10975609756097561
