# Child_BIRTHS_ALL_YEAR,MARITAL_STATUS_ALL_YEAR,RESID_STATE,AGE,EMPLOYMENT,EDUC_LEVEL,YEAR
3,1,8,13,0,0,1
3,4,42,15,0,0,1
2,2,5,9,0,0,1
1,2,5,9,0,0,1
0,2,5,8,0,0,1
8,5,5,16,7,9,1
3,2,5,15,0,0,1
2,1,8,11,0,0,1
0,2,5,0,0,0,1
4,2,26,15,0,0,1
1,1,26,13,0,0,1
0,2,5,0,0,0,1
1,1,5,15,0,0,1
1,1,21,10,0,0,1
0,2,25,16,1,9,1
0,2,25,11,0,0,1
0,2,6,4,0,0,1
0,2,23,15,0,0,1
1,1,26,11,0,0,1
0,2,12,0,0,0,1
0,2,48,12,0,0,1
0,1,13,12,0,0,1
0,2,29,0,0,0,1
0,2,27,16,7,9,1
2,1,8,17,3,11,1
0,2,36,0,0,0,1
0,2,13,4,0,0,1
3,1,26,17,7,11,1
0,2,17,12,0,0,1
0,1,18,10,0,0,1
0,1,17,10,0,0,1
0,2,51,6,0,0,1
0,1,36,6,0,0,1
3,2,48,14,0,0,1
0,2,48,1,0,0,1
0,2,0,0,0,0,1
0,2,37,2,0,0,1
1,1,25,13,0,0,1
0,2,25,11,0,0,1
0,2,36,16,1,11,1
0,2,34,13,0,0,1
0,1,34,8,0,0,1
0,2,34,4,0,0,1
2,1,36,14,0,0,1
1,1,36,14,0,0,1
1,1,12,16,1,9,1
0,2,34,16,7,9,1
3,1,42,14,0,0,1
0,2,42,1,0,0,1
0,2,13,1,0,0,1
3,2,18,0,0,0,1
0,4,16,10,0,0,1
0,2,16,9,0,0,1
0,2,26,1,0,0,1
1,1,26,12,0,0,1
0,2,26,10,0,0,1
4,1,26,8,0,0,1
0,1,26,7,0,0,1
1,1,26,4,0,0,1
0,2,17,9,0,0,1
0,2,6,4,0,0,1
4,1,29,14,0,0,1
0,1,29,11,0,0,1
1,1,29,8,0,0,1
0,2,29,5,0,0,1
0,2,5,3,0,0,1
0,2,25,1,0,0,1
0,2,39,1,0,0,1
0,2,41,1,0,0,1
0,2,48,13,0,0,1
1,2,6,4,0,0,1
2,2,6,12,0,0,1
0,2,36,16,1,9,1
0,2,5,8,0,0,1
1,1,0,0,0,0,1
2,5,18,15,0,0,1
0,2,21,13,0,0,1
2,1,18,10,0,0,1
0,2,21,7,0,0,1
0,2,53,9,0,0,1
1,2,53,3,0,0,1
0,2,53,12,0,0,1
1,1,30,10,0,0,1
2,1,21,11,0,0,1
0,2,34,10,0,0,1
0,2,34,0,0,0,1
3,1,5,11,0,0,1
2,2,36,10,0,0,1
0,2,24,1,0,0,1
0,2,0,0,0,0,1
0,2,0,0,0,0,1
0,2,51,16,7,10,1
0,1,49,6,0,0,1
0,2,49,3,0,0,1
0,2,13,0,0,0,1
1,1,6,11,0,0,1
0,2,1,0,0,0,1
0,2,55,2,0,0,1
0,4,53,7,0,0,1
4,1,19,13,0,0,1
2,2,20,15,0,0,1
2,1,20,11,0,0,1
0,1,47,6,0,0,1
1,1,26,12,0,0,1
0,4,26,10,0,0,1
0,2,12,12,0,0,1
0,2,26,1,0,0,1
0,2,54,8,0,0,1
0,2,54,7,0,0,1
1,2,54,5,0,0,1
0,2,54,1,0,0,1
0,2,27,5,0,0,1
0,2,27,0,0,0,1
0,1,26,14,0,0,1
0,2,39,13,0,0,1
0,2,39,10,0,0,1
0,2,37,10,0,0,1
0,2,37,8,0,0,1
0,2,39,1,0,0,1
1,2,55,6,0,0,1
0,2,17,2,0,0,1
3,4,26,17,7,10,1
0,2,26,14,0,0,1
0,1,26,16,7,10,1
1,1,12,13,0,0,1
1,1,40,11,0,0,1
0,2,0,8,0,0,1
0,2,26,6,0,0,1
0,2,0,5,0,0,1
0,1,36,14,0,0,1
3,1,29,12,0,0,1
2,1,29,11,0,0,1
2,2,29,9,0,0,1
3,1,29,8,0,0,1
0,2,48,1,0,0,1
1,2,42,7,0,0,1
0,2,12,6,0,0,1
0,2,18,10,0,0,1
0,2,18,5,0,0,1
2,1,18,13,0,0,1
1,2,18,12,0,0,1
0,2,18,6,0,0,1
0,2,18,5,0,0,1
0,2,18,0,0,0,1
1,2,18,7,0,0,1
0,2,51,1,0,0,1
0,2,39,14,0,0,1
0,2,39,13,0,0,1
1,1,39,9,0,0,1
0,2,39,6,0,0,1
0,2,36,10,0,0,1
0,2,36,7,0,0,1
0,2,36,1,0,0,1
0,2,51,10,0,0,1
0,2,41,9,0,0,1
0,4,41,8,0,0,1
0,4,28,12,0,0,1
0,2,5,3,0,0,1
0,2,47,1,0,0,1
0,2,37,15,0,0,1
0,2,37,12,0,0,1
0,2,34,5,0,0,1
0,2,36,3,0,0,1
0,2,36,1,0,0,1
0,1,51,10,0,0,1
0,2,53,12,0,0,1
0,2,53,10,0,0,1
0,2,24,6,0,0,1
0,2,25,8,0,0,1
0,2,25,8,0,0,1
0,2,6,12,0,0,1
1,2,17,11,0,0,1
2,2,17,9,0,0,1
2,1,25,11,0,0,1
0,2,25,6,0,0,1
0,1,6,7,0,0,1
0,2,6,5,0,0,1
0,2,25,3,0,0,1
0,2,25,0,0,0,1
0,2,6,0,0,0,1
0,2,6,0,0,0,1
0,2,1,0,0,0,1
1,1,1,9,0,0,1
0,2,48,1,0,0,1
0,2,27,7,0,0,1
1,1,9,16,7,11,1
0,2,9,13,0,0,1
0,2,9,4,0,0,1
0,2,48,11,0,0,1
0,2,48,2,0,0,1
1,2,39,16,7,10,1
0,2,39,14,0,0,1
0,2,39,13,0,0,1
0,2,0,0,0,0,1
1,1,29,14,0,0,1
0,2,17,2,0,0,1
0,2,17,4,0,0,1
0,1,4,8,0,0,1
1,2,4,6,0,0,1
3,1,18,11,0,0,1
0,1,18,9,0,0,1
0,2,18,7,0,0,1
0,2,12,5,0,0,1
0,2,47,4,0,0,1
0,2,18,1,0,0,1
2,4,18,13,0,0,1
3,2,0,0,0,0,1
2,1,18,13,0,0,1
1,2,18,14,0,0,1
0,2,18,7,0,0,1
0,2,18,0,0,0,1
2,1,18,16,7,10,1
0,1,4,13,0,0,1
1,4,18,14,0,0,1
0,4,48,9,0,0,1
0,2,18,6,0,0,1
0,2,18,4,0,0,1
0,1,21,12,0,0,1
0,2,36,4,0,0,1
0,2,6,0,0,0,1
1,2,45,6,0,0,1
0,2,45,4,0,0,1
0,2,45,2,0,0,1
0,2,45,0,0,0,1
0,1,6,10,0,0,1
0,2,6,17,1,11,1
3,4,6,14,0,0,1
0,4,6,13,0,0,1
0,2,6,9,0,0,1
1,4,6,13,0,0,1
0,2,6,11,0,0,1
3,1,48,14,0,0,1
0,2,39,2,0,0,1
0,2,26,2,0,0,1
2,2,10,5,0,0,1
0,2,42,5,0,0,1
1,2,10,3,0,0,1
0,2,10,2,0,0,1
0,2,42,2,0,0,1
0,2,42,1,0,0,1
0,2,10,0,0,0,1
2,1,42,16,7,10,1
3,4,42,11,0,0,1
0,1,42,5,0,0,1
0,2,0,0,0,0,1
1,1,21,16,7,11,1
1,1,1,5,0,0,1
0,2,39,1,0,0,1
2,1,8,12,0,0,1
2,1,0,12,0,0,1
0,2,0,8,0,0,1
1,1,29,5,0,0,1
1,2,29,4,0,0,1
0,2,17,13,0,0,1
0,2,8,7,0,0,1
0,2,8,7,0,0,1
1,1,0,0,0,0,1
1,1,19,10,0,0,1
0,2,29,0,0,0,1
0,2,28,13,0,0,1
0,2,28,11,0,0,1
0,2,26,16,7,9,1
0,2,26,14,0,0,1
1,1,6,15,0,0,1
0,2,37,11,0,0,1
0,5,37,16,7,10,1
1,2,37,13,0,0,1
3,2,26,13,0,0,1
0,2,26,4,0,0,1
2,2,8,16,7,9,1
2,2,4,9,0,0,1
1,2,4,9,0,0,1
0,1,4,4,0,0,1
0,2,4,1,0,0,1
0,2,44,6,0,0,1
0,2,44,11,0,0,1
0,2,36,13,0,0,1
0,1,36,13,0,0,1
0,2,6,6,0,0,1
0,1,12,15,0,0,1
0,2,29,14,0,0,1
2,1,36,16,7,10,1
0,1,51,11,0,0,1
0,2,51,2,0,0,1
1,2,45,12,0,0,1
0,2,45,1,0,0,1
1,1,29,13,0,0,1
0,2,29,10,0,0,1
1,1,8,15,0,0,1
0,4,51,10,0,0,1
2,1,48,7,0,0,1
0,1,39,15,0,0,1
2,2,39,7,0,0,1
1,1,39,12,0,0,1
0,2,39,10,0,0,1
0,2,6,16,1,11,1
0,1,41,16,1,8,1
2,2,41,13,0,0,1
0,2,6,8,0,0,1
0,1,25,15,0,0,1
1,1,25,13,0,0,1
0,1,25,10,0,0,1
0,2,12,9,0,0,1
0,1,25,9,0,0,1
0,2,25,7,0,0,1
0,2,25,4,0,0,1
0,2,25,4,0,0,1
0,2,4,8,0,0,1
0,2,4,4,0,0,1
0,2,39,9,0,0,1
0,2,25,5,0,0,1
3,2,36,12,0,0,1
0,2,34,7,0,0,1
0,1,17,11,0,0,1
0,2,24,14,0,0,1
0,2,6,14,0,0,1
1,4,29,14,0,0,1
0,2,48,7,0,0,1
2,1,26,15,0,0,1
1,2,5,3,0,0,1
1,1,31,13,0,0,1
0,2,19,6,0,0,1
0,2,26,2,0,0,1
0,2,26,2,0,0,1
3,5,40,11,0,0,1
0,2,40,9,0,0,1
0,2,41,1,0,0,1
1,4,17,16,7,10,1
0,1,18,15,0,0,1
4,1,26,16,1,9,1
0,2,26,1,0,0,1
1,1,9,15,0,0,1
2,1,36,14,0,0,1
0,1,36,12,0,0,1
1,2,5,2,0,0,1
0,2,6,8,0,0,1
1,1,32,15,0,0,1
0,2,55,15,0,0,1
0,2,55,6,0,0,1
2,5,29,7,0,0,1
4,4,29,5,0,0,1
0,2,47,3,0,0,1
0,2,29,0,0,0,1
0,2,48,2,0,0,1
0,1,24,14,0,0,1
0,2,24,11,0,0,1
1,1,53,16,7,10,1
0,1,41,14,0,0,1
0,1,42,9,0,0,1
1,1,42,12,0,0,1
0,2,36,5,0,0,1
2,2,17,13,0,0,1
0,2,17,1,0,0,1
0,2,17,0,0,0,1
0,1,8,7,0,0,1
0,2,29,1,0,0,1
3,1,24,5,0,0,1
0,2,24,4,0,0,1
0,4,17,10,0,0,1
0,2,17,10,0,0,1
0,2,18,0,0,0,1
0,1,29,13,0,0,1
0,1,29,10,0,0,1
0,2,48,6,0,0,1
0,2,48,12,0,0,1
0,1,42,9,0,0,1
1,1,4,10,0,0,1
0,2,51,3,0,0,1
0,1,46,12,0,0,1
2,2,39,15,0,0,1
0,2,39,8,0,0,1
0,2,42,4,0,0,1
0,1,36,9,0,0,1
0,2,34,5,0,0,1
2,1,29,11,0,0,1
2,4,29,8,0,0,1
0,2,27,3,0,0,1
0,4,51,14,0,0,1
0,1,51,11,0,0,1
2,4,0,0,0,0,1
0,2,51,8,0,0,1
0,1,6,12,0,0,1
0,2,4,10,0,0,1
0,2,6,10,0,0,1
0,2,12,3,0,0,1
0,1,13,5,0,0,1
0,2,45,12,0,0,1
0,2,26,16,1,10,1
1,2,41,1,0,0,1
0,2,42,17,7,11,1
1,2,42,13,0,0,1
0,2,42,5,0,0,1
0,2,42,4,0,0,1
1,1,8,7,0,0,1
0,2,31,2,0,0,1
0,2,8,1,0,0,1
0,2,31,1,0,0,1
0,2,34,11,0,0,1
0,2,34,8,0,0,1
0,2,34,5,0,0,1
0,2,34,1,0,0,1
0,2,36,14,0,0,1
0,2,36,11,0,0,1
0,2,6,10,0,0,1
0,2,36,7,0,0,1
0,2,11,1,0,0,1
0,2,37,14,0,0,1
0,1,37,8,0,0,1
0,2,37,5,0,0,1
0,2,37,2,0,0,1
2,5,37,11,0,0,1
0,2,37,0,0,0,1
0,2,16,4,0,0,1
0,2,41,11,0,0,1
1,2,41,15,0,0,1
0,1,53,14,0,0,1
0,2,41,6,0,0,1
0,2,41,3,0,0,1
0,2,53,0,0,0,1
1,1,41,12,0,0,1
1,2,42,15,0,0,1
1,1,39,11,0,0,1
0,1,39,9,0,0,1
3,1,48,6,0,0,1
0,2,48,2,0,0,1
0,2,6,14,0,0,1
0,2,32,8,0,0,1
0,2,32,5,0,0,1
1,1,6,17,7,11,1
2,1,55,14,0,0,1
0,2,34,5,0,0,1
0,1,36,11,0,0,1
0,2,36,9,0,0,1
0,2,36,8,0,0,1
0,2,36,5,0,0,1
0,2,12,4,0,0,1
0,2,8,8,0,0,1
0,2,8,6,0,0,1
0,2,8,3,0,0,1
0,2,8,1,0,0,1
0,2,19,12,0,0,1
0,2,19,11,0,0,1
0,2,48,9,0,0,1
0,2,21,2,0,0,1
0,2,21,1,0,0,1
0,2,19,16,1,9,1
2,1,31,15,0,0,1
4,1,31,12,0,0,1
2,1,19,15,0,0,1
0,2,19,1,0,0,1
0,1,39,8,0,0,1
0,2,31,8,0,0,1
0,2,48,8,0,0,1
1,2,39,1,0,0,1
0,2,39,5,0,0,1
1,5,39,11,0,0,1
3,2,39,9,0,0,1
0,2,1,10,0,0,1
0,2,39,6,0,0,1
0,2,39,2,0,0,1
2,1,6,13,0,0,1
0,1,18,13,0,0,1
0,2,53,8,0,0,1
0,1,53,6,0,0,1
0,2,53,1,0,0,1
0,2,49,1,0,0,1
0,1,41,6,0,0,1
0,2,4,10,0,0,1
0,2,4,6,0,0,1
0,2,4,3,0,0,1
4,2,4,14,0,0,1
0,1,4,11,0,0,1
3,2,18,14,0,0,1
3,5,18,7,0,0,1
0,2,18,4,0,0,1
0,2,18,2,0,0,1
0,2,18,1,0,0,1
0,2,46,14,0,0,1
0,2,12,9,0,0,1
0,2,5,8,0,0,1
3,1,5,7,0,0,1
0,2,5,0,0,0,1
6,1,12,12,0,0,1
3,2,12,11,0,0,1
0,2,13,6,0,0,1
0,2,1,0,0,0,1
2,1,36,16,1,10,1
1,2,53,12,0,0,1
0,2,36,12,0,0,1
1,2,53,11,0,0,1
1,1,28,8,0,0,1
0,2,28,4,0,0,1
0,2,5,5,0,0,1
1,2,28,3,0,0,1
0,2,28,0,0,0,1
0,2,6,10,0,0,1
2,1,6,11,0,0,1
1,2,6,9,0,0,1
0,1,26,10,0,0,1
2,1,26,12,0,0,1
0,2,26,10,0,0,1
3,1,26,11,0,0,1
2,4,5,14,0,0,1
0,2,5,3,0,0,1
0,2,51,3,0,0,1
4,1,51,11,0,0,1
4,4,51,9,0,0,1
0,2,25,4,0,0,1
0,2,25,2,0,0,1
0,2,25,0,0,0,1
3,2,39,16,3,9,1
2,2,39,15,0,0,1
0,1,39,13,0,0,1
4,1,39,9,0,0,1
1,1,39,10,0,0,1
0,2,39,4,0,0,1
1,1,39,3,0,0,1
0,2,39,1,0,0,1
0,4,39,5,0,0,1
0,2,39,3,0,0,1
0,2,42,16,7,10,1
0,2,34,12,0,0,1
2,1,42,13,0,0,1
0,2,42,4,0,0,1
2,1,42,15,0,0,1
5,2,4,11,0,0,1
2,2,19,9,0,0,1
0,2,4,6,0,0,1
2,2,4,6,0,0,1
0,2,19,1,0,0,1
0,2,12,0,0,0,1
0,2,49,10,0,0,1
0,2,49,6,0,0,1
0,2,49,4,0,0,1
2,1,48,15,0,0,1
0,2,53,2,0,0,1
1,2,39,16,7,10,1
3,4,39,14,0,0,1
3,1,39,13,0,0,1
0,2,40,10,0,0,1
