TAS,TAS05,TAS07,TAS09,TAS11,TAS13,TAS15,TAS17,TAS19,ER30000,ER30001,ER30002,ER31988,ER31989,ER32000,ER32022,ER32034,ER32036,ER32049,V17701,V17798,ER30642,ER30643,ER30644,ER30645,ER30653,ER30657,ER30659,V19001,V19098,ER30689,ER30690,ER30691,ER30692,ER30699,ER30703,V20301,V20398,ER30733,ER30734,ER30735,ER30736,ER30744,ER30748,ER30806,ER30807,ER30808,ER30809,ER30816,ER30820,ER33101,ER33102,ER33103,ER33104,ER33111,ER33115,ER33201,ER33202,ER33203,ER33204,ER33211,ER33215,ER33301,ER33302,ER33303,ER33304,ER33311,ER33315,ER33401,ER33402,ER33403,ER33404,ER33411,ER33415,ER33501,ER33502,ER33503,ER33504,ER33512,ER33516,ER33601,ER33602,ER33603,ER33604,ER33612,ER33616,ER33701,ER33702,ER33703,ER33704,ER33712,ER33716,ER33801,ER33802,ER33803,ER33804,ER33813,ER33817,ER33838F,TA050001,TA050189,TA050953,ER33901,ER33902,ER33903,ER33904,ER33913,ER33917,ER33938F,TA070001,TA070207,TA070934,ER34001,ER34002,ER34003,ER34004,ER34016,ER34020,ER34032D,TA090001,TA090222,TA090998,ER34101,ER34102,ER34103,ER34104,ER34116,ER34119,ER34144D,TA110001,TA110223,TA111140,ER34201,ER34202,ER34203,ER34204,ER34216,ER34230,ER34251D,TA130001,TA130222,TA131244,ER34301,ER34302,ER34303,ER34305,ER34317,ER34349,ER34401D,TA150001,TA150214,TA151304,ER34501,ER34502,ER34503,ER34504,ER34516,ER34548,ER34639,TA170001,TA170204,TA171991,ER34701,ER34702,ER34703,ER34704,ER34716,ER34752,ER34848,TA190001,TA190257,TA192198
4,,,,,1,1,1,1,3,922,34,0,0,2,0,0,9999,2,3,3,4513,0,0,0,0,0,0,3,3,8096,0,0,0,0,0,4,3,7412,0,0,0,0,0,2177,0,0,0,0,0,5346,0,0,0,0,0,10062,4,30,1,0,0,3325,4,30,1,0,0,2976,4,30,2,0,0,6271,4,30,4,0,0,2697,4,30,6,0,0,284,4,30,8,0,0,2623,4,30,10,0,0,0,,,,4353,4,30,12,0,0,0,,,,665,4,30,14,0,0,200,,,,4029,4,30,16,7,10,0,,,,1901,3,30,18,7,11,1082,2,999,0,474,51,30,20,7,0,0,2,465,0,5537,3,30,22,0,0,0,2,2340,0,6431,3,30,24,1,17,30000,2,2330,0
3,,,,,,1,1,1,3,922,35,0,0,1,0,0,9999,2,3,3,6195,0,0,0,0,0,0,3,4,8128,0,0,0,0,0,4,4,5817,0,0,0,0,0,7902,0,0,0,0,0,5347,0,0,0,0,0,1241,0,0,0,0,0,2553,3,30,1,0,0,2403,3,30,1,0,0,4178,3,30,3,0,0,2696,3,30,5,0,0,5825,3,30,7,0,0,4752,3,30,9,0,0,0,,,,6225,3,30,11,0,0,0,,,,8233,3,30,13,0,0,0,,,,8102,3,30,15,0,0,0,,,,8234,3,30,17,7,11,6560,,,,6250,3,30,19,1,13,1000,2,422,0,6686,3,30,21,7,15,4500,2,4250,0,7164,3,30,23,7,17,0,2,4420,0
3,,,,,,1,1,1,3,922,36,0,0,1,0,0,9999,2,3,3,6195,0,0,0,0,0,0,3,4,8128,0,0,0,0,0,4,4,5817,0,0,0,0,0,7868,0,0,0,0,0,5348,0,0,0,0,0,850,0,0,0,0,0,3181,0,0,0,0,0,1588,3,30,1,0,0,1594,3,30,2,0,0,1920,3,30,4,0,0,2101,3,30,6,0,0,2469,3,30,8,0,0,0,,,,464,3,30,10,0,0,0,,,,1313,3,30,12,0,0,0,,,,7105,3,30,15,0,0,0,,,,1614,3,30,16,7,10,0,,,,6220,2,30,19,7,13,0,2,462,0,7167,2,30,21,7,15,3000,2,9620,0,6222,2,30,22,1,16,7000,2,3820,0
2,,,,,,,1,1,3,922,37,0,0,1,0,0,9999,2,3,3,6195,0,0,0,0,0,0,3,4,8128,0,0,0,0,0,4,4,5817,0,0,0,0,0,7868,0,0,0,0,0,5348,0,0,0,0,0,850,0,0,0,0,0,3181,0,0,0,0,0,1588,0,0,0,0,0,1594,4,30,1,0,0,1920,4,30,3,0,0,2101,4,30,5,0,0,2469,4,30,7,0,0,0,,,,464,4,30,9,0,0,0,,,,1313,4,30,11,0,0,0,,,,7105,4,30,13,0,0,0,,,,1614,4,30,15,0,0,0,,,,6220,3,30,17,7,11,0,,,,7167,3,30,19,7,13,0,2,4250,0,6222,3,30,21,7,14,8000,2,4320,0
1,,,,,,,,1,3,922,38,0,0,1,0,0,9999,2,3,3,6195,0,0,0,0,0,0,3,4,8128,0,0,0,0,0,4,4,5817,0,0,0,0,0,7868,0,0,0,0,0,5348,0,0,0,0,0,850,0,0,0,0,0,3181,0,0,0,0,0,1588,0,0,0,0,0,1594,0,0,0,0,0,1920,5,30,1,0,0,2101,5,30,2,0,0,2469,5,30,4,0,0,0,,,,464,5,30,6,0,0,0,,,,1313,5,30,8,0,0,0,,,,7105,5,30,10,0,0,0,,,,1614,5,30,12,0,0,0,,,,6220,4,30,14,0,0,0,,,,7167,4,30,16,7,10,0,,,,6222,4,30,18,7,11,0,2,4250,0
1,,,,,,,,1,3,923,30,0,0,2,0,0,9999,2,3,2,4854,0,0,0,0,0,0,3,2,5530,0,0,0,0,0,4,2,167,0,0,0,0,0,6920,0,0,0,0,0,5349,0,0,0,0,0,3413,0,0,0,0,0,6727,0,0,0,0,0,1295,0,0,0,0,0,74,0,0,0,0,0,3562,3,30,1,0,0,3820,3,30,3,0,0,3281,3,30,5,0,0,0,,,,4467,3,30,7,0,0,0,,,,389,3,30,9,0,0,0,,,,3057,3,30,11,0,0,0,,,,4530,3,30,13,0,0,0,,,,5291,3,30,15,0,0,0,,,,381,3,30,17,1,10,0,,,,2651,3,30,19,1,10,10000,2,4760,0
4,,,,,1,1,1,1,3,931,32,0,0,1,0,1,2018,1,3,3,4587,0,0,0,0,0,0,3,3,1605,0,0,0,0,0,4,3,1399,0,0,0,0,0,2128,0,0,0,0,0,11971,3,30,1,0,0,164,3,30,1,0,0,25,3,30,1,0,0,71,3,30,2,0,0,23,3,30,4,0,0,2537,3,30,6,0,0,2884,3,30,8,0,0,549,3,30,10,0,0,0,,,,258,3,30,12,0,0,0,,,,4050,3,30,14,0,0,0,,,,6214,3,30,17,7,11,0,,,,2610,51,30,18,7,0,0,2,472,0,534,4,30,20,1,14,4000,2,586,0,1069,4,30,22,1,16,12000,2,3510,0,995,1,10,24,1,16,0,2,5700,0
3,,,,,,1,1,1,3,931,33,0,0,1,0,1,2018,1,3,3,4587,0,0,0,0,0,0,3,3,1605,0,0,0,0,0,4,3,1399,0,0,0,0,0,2128,0,0,0,0,0,11971,0,0,0,0,0,164,0,0,0,0,0,25,0,0,0,0,0,71,4,30,1,0,0,23,4,30,2,0,0,2537,4,30,4,0,0,2884,4,30,6,0,0,549,4,30,8,0,0,0,,,,258,4,30,10,0,0,0,,,,4050,4,30,12,0,0,0,,,,6214,4,30,15,0,0,0,,,,2610,3,30,16,7,10,0,,,,534,3,30,18,7,12,3500,2,962,0,1069,3,30,20,1,14,15000,2,8965,0,1057,1,10,22,1,14,0,2,9600,0
2,,,,,,,1,1,3,934,34,0,0,2,0,0,9999,2,3,5,4397,0,0,0,0,0,0,3,5,5376,0,0,0,0,0,4,3,6788,0,0,0,0,0,219,0,0,0,0,0,7174,0,0,0,0,0,3686,0,0,0,0,0,6354,0,0,0,0,0,5450,0,0,0,0,0,3922,3,30,1,0,0,2035,3,30,3,0,0,952,3,30,5,0,0,4322,3,30,7,0,0,0,,,,2235,3,30,9,0,0,0,,,,5021,2,30,11,0,0,0,,,,4673,2,30,13,0,0,0,,,,2286,3,33,15,0,0,0,,,,7425,3,30,17,1,11,1200,,,,3178,2,30,19,1,12,1100,2,4620,0,7405,1,10,21,1,14,0,2,4620,0
2,,,,,,,1,1,3,934,35,0,0,1,0,0,9999,2,3,5,4397,0,0,0,0,0,0,3,5,5376,0,0,0,0,0,4,3,6788,0,0,0,0,0,219,0,0,0,0,0,7174,0,0,0,0,0,1243,0,0,0,0,0,5459,0,0,0,0,0,5228,0,0,0,0,0,96,3,30,1,0,0,2032,3,30,2,0,0,2073,3,30,4,0,0,6892,3,30,6,0,0,0,,,,3273,3,30,8,0,0,0,,,,6289,3,30,10,0,0,0,,,,2534,3,30,12,0,0,0,,,,4857,3,30,14,0,0,0,,,,4495,3,30,16,7,10,700,,,,3254,3,30,18,7,12,0,2,9600,0,9423,3,30,20,1,12,11000,2,9620,0
1,,,,,,,,1,3,934,36,0,0,1,0,0,9999,2,3,5,4397,0,0,0,0,0,0,3,5,5376,0,0,0,0,0,4,3,6788,0,0,0,0,0,219,0,0,0,0,0,7174,0,0,0,0,0,3686,0,0,0,0,0,6354,0,0,0,0,0,5450,0,0,0,0,0,3922,0,0,0,0,0,2035,4,30,1,0,0,952,4,30,2,0,0,4322,4,30,4,0,0,0,,,,2235,4,30,6,0,0,0,,,,5021,3,30,8,0,0,0,,,,4673,3,30,11,0,0,0,,,,2286,4,33,12,0,0,0,,,,7425,4,30,15,0,0,0,,,,3178,3,30,17,1,11,600,,,,8826,2,30,19,7,13,3400,2,9610,0
1,,,,,,,,1,3,934,37,0,0,2,0,0,9999,2,3,5,4397,0,0,0,0,0,0,3,5,5376,0,0,0,0,0,4,3,6788,0,0,0,0,0,219,0,0,0,0,0,7174,0,0,0,0,0,1243,0,0,0,0,0,5459,0,0,0,0,0,5228,0,0,0,0,0,96,0,0,0,0,0,2032,0,0,0,0,0,2073,4,30,1,0,0,6892,4,30,3,0,0,0,,,,3273,4,30,5,0,0,0,,,,6289,4,30,7,0,0,0,,,,2534,4,30,9,0,0,0,,,,4857,4,30,11,0,0,0,,,,4495,4,30,13,0,0,0,,,,3254,4,30,15,0,0,0,,,,9423,4,30,18,1,11,0,2,8740,0
6,,1,1,1,1,1,1,,3,935,30,5,0,1,0,1,2017,1,3,5,540,5,30,1,0,0,0,3,5,5426,5,30,1,0,0,4,2,5456,2,30,2,0,0,2175,3,30,3,0,0,7178,3,30,4,0,0,1575,3,30,5,0,0,2257,2,30,6,0,0,4474,2,30,7,0,0,233,2,30,9,0,0,1509,2,30,11,0,0,5318,2,30,14,0,0,3096,2,30,15,0,0,0,,,,3053,2,30,17,7,11,4200,4,962,0,4179,2,30,19,7,14,0,3,234,0,3120,51,30,21,1,14,2000,2,402,0,2509,51,30,23,0,0,0,2,220,0,134,2,30,25,1,17,10000,2,232,0,4301,2,30,27,1,17,10847,2,2320,0,6715,1,10,29,1,17,0,,,
3,,1,,1,1,,,,3,935,31,5,0,2,1,0,9999,2,3,3,3404,3,30,1,0,0,0,3,3,5310,3,30,2,0,0,4,4,5276,3,30,3,0,0,1691,3,30,4,0,0,7179,3,30,5,0,0,2,3,30,5,0,0,2001,3,30,6,0,0,2681,3,30,7,0,0,1875,3,30,9,0,0,1840,3,30,11,0,0,1705,3,30,13,0,0,7241,3,30,16,7,10,0,,,,5053,3,30,18,7,12,0,4,460,0,3948,1,10,20,1,14,0,,,,8345,1,10,22,1,14,0,2,531,0,6395,1,10,24,3,14,0,2,570,0,7229,1,10,26,1,14,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,
2,,,,1,,,,1,3,935,32,5,0,2,1,1,2012,1,3,3,3404,0,0,0,0,0,0,3,3,5310,0,0,0,0,0,4,4,5276,4,30,1,0,0,1691,4,30,1,0,0,7179,4,30,2,0,0,2,4,30,3,0,0,2001,4,30,4,0,0,2681,4,30,5,0,0,1875,4,30,7,0,0,1840,4,30,9,0,0,1705,4,30,11,0,0,7241,4,30,13,0,0,0,,,,5053,4,30,15,0,0,0,,,,4309,3,30,17,1,12,1000,,,,2662,2,60,19,1,11,18000,2,341,0,7442,2,20,21,1,15,0,,,,6268,2,20,23,1,15,0,,,,9329,2,20,25,1,15,0,,,,7233,2,20,27,1,15,0,2,5400,0
2,,,,,,,1,1,3,935,33,5,0,2,0,2,2013,1,3,2,2964,0,0,0,0,0,0,3,2,6651,0,0,0,0,0,4,2,5277,0,0,0,0,0,1694,3,30,1,0,0,7180,3,30,1,0,0,1572,3,30,1,0,0,6923,3,30,3,0,0,4483,3,30,4,0,0,388,3,30,5,0,0,810,3,30,8,0,0,1743,3,30,10,0,0,459,3,30,12,0,0,0,,,,2979,3,30,14,0,0,0,,,,4273,3,30,16,7,9,0,,,,3199,3,30,18,7,11,0,,,,4556,2,20,20,1,14,0,,,,1257,2,20,22,1,16,0,,,,4841,1,10,24,1,17,0,2,2310,0,6988,2,20,26,1,17,0,2,2310,0
4,,,,,1,1,1,1,3,935,34,0,0,1,0,0,9999,2,3,5,540,0,0,0,0,0,0,3,5,5426,0,0,0,0,0,4,2,5456,0,0,0,0,0,2175,0,0,0,0,0,7178,4,30,1,0,0,1575,4,30,1,0,0,2257,3,30,1,0,0,4474,3,30,2,0,0,233,3,30,4,0,0,1509,3,30,6,0,0,5318,3,30,9,0,0,3096,3,30,10,0,0,0,,,,3053,3,30,12,0,0,0,,,,4179,3,30,15,0,0,0,,,,3120,2,30,17,7,10,0,,,,2509,2,30,18,7,12,0,2,296,0,134,51,30,20,7,14,2000,2,292,0,5139,1,10,22,1,16,0,2,2920,0,4851,1,10,24,1,16,0,2,2920,0
4,1,1,1,1,,,,,3,941,34,5,0,1,3,1,2011,1,3,7,2244,5,30,4,0,0,0,3,7,1549,5,30,5,0,0,4,5,6373,5,30,6,0,0,3554,5,30,7,0,0,5359,5,30,8,0,0,264,4,30,9,0,0,3545,4,30,10,0,0,584,5,30,11,0,0,1325,4,30,13,0,0,5355,4,33,15,0,0,742,3,33,17,7,10,332,2,30,19,1,12,9860,5,622,0,214,2,30,21,1,12,22000,4,632,0,1580,2,30,23,1,12,23000,3,660,0,7495,1,10,25,1,12,0,2,960,0,6397,1,10,27,1,12,0,,,,2930,1,10,29,1,12,0,,,,2376,1,10,31,1,12,0,,,,5161,1,10,33,1,12,0,,,
4,,,,,1,1,1,1,3,941,37,0,0,2,2,1,2016,1,3,7,2244,0,0,0,0,0,0,3,7,1549,0,0,0,0,0,4,5,6373,0,0,0,0,0,3554,0,0,0,0,0,5359,0,0,0,0,0,2823,3,30,1,0,0,2072,3,30,1,0,0,443,3,30,2,0,0,3567,3,30,4,0,0,2022,3,30,6,0,0,960,3,30,8,0,0,905,3,30,10,0,0,0,,,,380,3,30,12,0,0,0,,,,2315,3,30,14,0,0,0,,,,3006,3,30,16,1,10,600,,,,1170,3,30,18,1,12,16000,2,360,0,4600,2,22,20,6,13,0,2,360,0,1081,2,20,22,1,13,0,2,3645,0,4798,2,20,24,1,13,0,2,3645,0
3,,,,,,1,1,1,3,941,38,0,0,1,0,0,9999,2,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,5362,0,0,0,0,0,260,0,0,0,0,0,5276,0,0,0,0,0,2574,3,30,1,0,0,1146,3,30,2,0,0,6590,3,30,4,0,0,3592,3,30,6,0,0,634,3,30,8,0,0,0,,,,359,3,30,10,0,0,0,,,,2114,3,30,12,0,0,0,,,,3842,3,30,14,0,0,0,,,,803,3,30,16,3,10,0,,,,205,51,30,18,7,12,3000,2,999,0,1548,51,30,20,0,0,0,2,4700,0,5608,1,10,22,1,16,0,2,4620,0
1,,,,,,,1,,3,941,39,0,0,2,1,0,9999,2,3,7,2244,0,0,0,0,0,0,3,7,1549,0,0,0,0,0,4,5,6373,0,0,0,0,0,3554,0,0,0,0,0,5359,0,0,0,0,0,2823,0,0,0,0,0,2072,0,0,0,0,0,443,4,30,1,0,0,3567,4,30,2,0,0,2022,4,30,4,0,0,960,4,30,6,0,0,905,4,30,8,0,0,0,,,,380,4,30,10,0,0,0,,,,2315,4,30,12,0,0,0,,,,3006,4,30,14,0,0,0,,,,1170,4,30,16,7,9,0,,,,2825,72,30,18,1,11,10000,,,,1447,4,30,20,1,12,0,2,4740,0,5342,71,30,22,0,0,0,,,
1,,,,,,,,1,3,941,40,0,0,1,0,0,9999,2,3,7,2244,0,0,0,0,0,0,3,7,1549,0,0,0,0,0,4,5,6373,0,0,0,0,0,3554,0,0,0,0,0,5359,0,0,0,0,0,264,0,0,0,0,0,3545,0,0,0,0,0,584,0,0,0,0,0,1325,0,0,0,0,0,5355,5,60,1,0,0,7090,3,30,2,0,0,3409,2,30,4,0,0,0,,,,692,3,30,6,0,0,0,,,,1806,3,35,8,0,0,0,,,,6944,3,35,10,0,0,0,,,,6103,3,35,12,0,0,0,,,,4485,3,35,14,0,0,0,,,,1966,3,35,16,3,10,0,,,,8899,3,35,18,1,12,0,2,6130,0
1,,,,,,,,1,3,941,41,0,0,1,0,0,9999,2,3,7,2244,0,0,0,0,0,0,3,7,1549,0,0,0,0,0,4,5,6373,0,0,0,0,0,3554,0,0,0,0,0,5359,0,0,0,0,0,2823,0,0,0,0,0,2072,0,0,0,0,0,443,0,0,0,0,0,3567,0,0,0,0,0,2022,5,30,1,0,0,960,5,30,3,0,0,905,5,30,5,0,0,0,,,,380,5,30,7,0,0,0,,,,2315,5,30,9,0,0,0,,,,3006,5,30,11,0,0,0,,,,1170,5,30,13,0,0,0,,,,2825,3,30,15,0,0,0,,,,1447,3,30,17,7,10,0,,,,5342,51,30,19,1,12,5504,2,4250,0
1,,,,1,,,,,3,941,184,0,0,1,0,0,9999,2,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,5361,2,30,2,0,0,261,2,30,3,0,0,8273,2,30,4,0,0,442,2,30,5,0,0,1620,2,30,7,0,0,6489,2,30,9,0,0,1694,2,30,11,0,0,89,2,30,13,0,0,0,,,,113,2,30,15,0,0,1000,,,,1640,2,30,17,3,10,3600,,,,3247,2,30,19,1,12,5385,2,962,0,6705,1,10,21,1,12,0,,,,0,0,0,0,0,0,0,,,,1857,1,10,25,1,12,0,,,,0,0,0,0,0,0,0,,,
4,,,1,1,,1,1,,3,946,30,5,0,2,2,1,2014,1,3,4,1035,4,30,1,0,0,0,3,3,6678,3,30,1,0,0,4,3,3938,3,30,2,0,0,5616,3,30,3,0,0,5364,3,30,4,0,0,5342,3,30,5,0,0,0,0,0,0,0,0,4948,3,30,7,0,0,2249,3,30,9,0,0,3572,3,30,11,0,0,2799,3,30,13,0,0,5451,3,30,15,0,0,0,,,,2277,3,30,17,3,10,1300,,,,838,2,30,19,3,9,0,3,999,0,8559,2,30,21,7,9,0,2,0,0,0,0,0,0,0,0,0,,,,6136,2,20,25,1,14,0,2,365,0,1691,2,20,27,1,14,0,2,5700,0,7142,2,20,29,1,14,0,,,
2,,,,,,,1,1,3,946,173,0,0,1,3,2,2010,4,3,4,1035,0,0,0,0,0,0,3,3,6678,0,0,0,0,0,4,3,3938,0,0,0,0,0,5616,0,0,0,0,0,5364,0,0,0,0,0,5342,0,0,0,0,0,0,0,0,0,0,0,4948,0,0,0,0,0,2249,0,0,0,0,0,3572,0,0,0,0,0,2799,0,0,0,0,0,5451,4,60,13,0,0,0,,,,5955,3,30,15,0,0,0,,,,5459,2,30,17,1,11,1400,,,,8198,1,10,19,1,12,0,,,,9064,1,10,22,1,12,0,,,,4816,1,10,23,1,12,0,,,,1826,1,10,25,1,12,0,2,9130,0,5860,1,10,27,1,12,0,2,9130,0
2,,,,,,,1,1,3,951,32,0,0,2,0,1,2017,1,3,4,301,0,0,0,0,0,0,3,4,5225,0,0,0,0,0,4,3,3659,0,0,0,0,0,3834,0,0,0,0,0,5367,0,0,0,0,0,1980,0,0,0,0,0,1815,0,0,0,0,0,3623,0,0,0,0,0,4252,3,30,1,0,0,1983,3,30,2,0,0,1984,2,30,4,0,0,1071,2,30,6,0,0,0,,,,1498,3,30,8,0,0,0,,,,2000,3,30,10,0,0,0,,,,3693,3,30,12,0,0,0,,,,5362,3,30,15,0,0,0,,,,5973,3,30,17,7,11,0,,,,793,3,30,18,7,13,6000,2,5700,0,781,2,20,20,1,15,0,2,5840,0
5,1,1,1,1,1,,,,3,952,32,5,0,1,0,1,2016,1,3,4,340,4,30,3,0,0,500,3,4,5859,4,30,4,0,0,4,4,1571,4,30,5,0,0,1763,4,30,6,0,0,5369,4,30,7,0,0,1245,4,30,8,0,0,2901,4,30,9,0,0,1976,4,30,10,0,0,1838,4,30,12,0,0,2638,4,30,14,0,0,4094,4,30,16,7,10,460,4,30,18,7,12,1200,5,462,0,5008,3,30,20,7,14,0,4,626,0,565,3,30,22,1,15,13700,3,155,0,5590,1,10,24,1,16,0,2,141,0,5333,1,10,26,3,17,0,2,136,0,1750,1,10,28,1,17,0,,,,1561,1,10,30,1,17,0,,,,9565,1,10,33,1,17,0,,,
1,,,,,,,1,,3,958,32,5,0,1,0,0,9999,2,3,4,1696,4,30,1,0,0,0,3,1,4620,73,30,1,0,0,4,5,5061,4,33,3,0,0,7016,4,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,2335,2,40,25,0,0,0,,,,919,2,40,28,1,16,52000,2,9130,0,8668,1,10,30,1,16,0,,,
2,,,,1,1,,,,3,961,34,5,0,2,5,2,2004,4,3,4,5812,2,30,4,0,0,0,,,0,0,0,0,0,0,4,4,7907,3,33,6,0,0,118,3,33,7,0,0,5374,3,33,8,0,0,3272,2,30,8,0,0,6297,2,30,9,0,0,46,2,30,10,0,0,3707,3,33,12,0,0,6008,2,30,15,0,0,4425,2,30,17,7,11,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,7728,3,33,23,0,0,0,,,,8177,2,22,25,3,12,0,2,0,0,4454,1,10,27,1,12,0,2,401,0,5858,2,20,29,6,12,0,,,,4620,1,10,30,1,12,0,,,,5844,1,10,32,1,12,0,,,
4,,1,1,1,1,,,,3,961,35,5,0,1,0,0,9999,2,3,4,5812,3,30,3,0,0,0,,,0,0,0,0,0,0,4,4,7907,4,33,5,0,0,118,4,33,6,0,0,5374,4,33,7,0,0,3272,3,30,7,0,0,6297,3,30,8,0,0,46,3,30,9,0,0,3707,4,33,11,0,0,6008,3,30,14,0,0,4425,3,30,16,7,10,0,0,0,0,0,0,0,,,,8292,3,33,20,1,12,5500,4,623,0,8315,1,10,22,1,12,0,3,626,0,6669,1,10,24,3,12,0,2,632,0,5744,1,10,26,3,12,0,2,425,0,4222,1,10,28,1,12,0,,,,5384,1,10,30,1,12,0,,,,8855,1,10,32,3,12,0,,,
3,,,,1,1,1,,,3,961,36,0,0,1,0,0,9999,2,3,4,5143,0,0,0,0,0,0,3,3,168,0,0,0,0,0,4,3,472,0,0,0,0,0,1125,0,0,0,0,0,5372,4,60,1,0,0,5903,2,30,2,0,0,3225,2,30,3,0,0,38,2,30,4,0,0,258,2,30,6,0,0,2329,2,30,8,0,0,5793,3,33,10,0,0,1846,3,33,12,0,0,0,,,,1488,3,60,14,0,0,0,,,,3654,3,60,16,7,9,750,,,,6413,3,60,18,3,12,240,2,626,0,4815,2,60,20,3,12,5200,2,626,0,4003,2,60,22,1,12,1000,2,623,0,5110,81,60,23,0,0,10847,,,,0,0,0,0,0,0,0,,,
2,,,,,,1,,1,3,961,38,0,0,1,0,0,9999,2,3,3,4495,0,0,0,0,0,0,3,3,287,0,0,0,0,0,4,3,63,0,0,0,0,0,853,0,0,0,0,0,5373,0,0,0,0,0,53,0,0,0,0,0,226,5,30,1,0,0,5680,5,30,1,0,0,5705,5,30,3,0,0,6803,4,30,5,0,0,4560,4,30,7,0,0,1592,4,30,9,0,0,0,,,,2139,4,30,11,0,0,0,,,,6751,4,30,13,0,0,0,,,,4809,4,30,15,0,0,0,,,,4304,2,30,17,7,10,0,,,,4365,2,30,19,1,12,2000,2,762,0,6043,2,30,21,1,12,22000,,,,5248,2,30,23,1,12,27000,2,7630,0
1,,,,,,,,1,3,961,40,0,0,2,0,0,9999,2,3,4,5143,0,0,0,0,0,0,3,3,168,0,0,0,0,0,4,3,472,0,0,0,0,0,1125,0,0,0,0,0,5372,0,0,0,0,0,5903,0,0,0,0,0,3225,0,0,0,0,0,38,0,0,0,0,0,258,0,0,0,0,0,2329,3,30,1,0,0,5793,4,33,2,0,0,1846,4,33,4,0,0,0,,,,6037,3,30,6,0,0,0,,,,2286,2,30,8,0,0,0,,,,982,2,30,10,0,0,0,,,,4250,2,30,12,0,0,0,,,,4077,2,30,14,0,0,0,,,,5600,2,30,16,7,9,0,,,,7988,2,30,18,3,12,0,2,0,0
4,,1,1,1,1,,,,3,964,32,5,0,2,0,1,2019,1,3,4,93,3,30,2,0,0,0,3,4,3895,3,30,3,0,0,4,4,1971,3,30,4,0,0,3198,3,30,5,0,0,11972,3,30,7,0,0,2428,3,30,7,0,0,3392,2,30,8,0,0,5291,3,30,9,0,0,3900,3,30,11,0,0,4025,2,30,13,0,0,7621,3,30,16,7,10,5996,3,35,17,7,11,0,,,,8015,3,35,20,3,12,0,4,822,0,8184,1,10,22,1,14,0,3,414,0,6779,1,10,24,1,14,0,2,622,0,7937,1,10,26,1,14,0,2,402,0,8279,1,10,28,1,14,0,,,,7337,1,10,30,3,14,0,,,,4461,1,10,32,1,14,0,,,
4,,,,1,1,1,1,,3,964,35,5,0,1,0,1,2012,1,3,4,93,4,30,1,0,0,0,3,4,3895,4,30,1,0,0,4,4,1971,4,30,2,0,0,3198,4,30,3,0,0,11972,4,30,4,0,0,2428,4,30,5,0,0,3392,3,30,5,0,0,5291,2,30,7,0,0,3900,2,30,9,0,0,4673,2,30,11,0,0,3656,2,30,13,0,0,1050,2,30,15,0,0,0,,,,2417,2,30,17,7,10,0,,,,0,0,0,0,0,0,0,,,,4007,1,10,21,3,12,0,2,562,0,8347,1,10,23,1,12,0,2,742,0,8790,1,10,25,3,12,0,2,411,0,4075,1,10,27,3,12,0,2,4760,0,3882,1,10,29,3,12,0,,,
3,,,,,,1,1,1,3,971,30,0,0,2,0,0,9999,2,3,1,5657,0,0,0,0,0,0,3,2,2930,0,0,0,0,0,4,2,4307,0,0,0,0,0,6504,0,0,0,0,0,2648,0,0,0,0,0,2357,0,0,0,0,0,7141,3,30,1,0,0,4981,3,30,1,0,0,6212,3,30,3,0,0,5474,3,30,5,0,0,5327,3,30,7,0,0,7334,3,30,9,0,0,0,,,,6424,3,30,11,0,0,0,,,,6584,3,30,13,0,0,0,,,,1544,3,30,15,0,0,0,,,,7145,3,30,17,1,11,735,,,,7326,51,30,19,1,13,10000,2,460,0,2451,51,30,21,0,0,0,2,4030,0,3777,1,10,23,1,14,0,2,5510,0
4,,,,1,1,1,1,,3,976,33,5,0,1,0,0,9999,2,3,2,7267,0,0,0,0,0,0,3,3,1062,0,0,0,0,0,4,6,2769,6,30,1,0,0,7820,5,30,1,0,0,11978,5,30,2,0,0,854,5,30,3,0,0,7918,5,30,4,0,0,2618,5,30,5,0,0,0,0,0,0,0,0,2233,4,33,9,0,0,3839,4,33,11,0,0,4178,4,33,13,0,0,0,,,,3303,4,33,15,0,0,0,,,,1624,3,33,17,7,10,0,,,,5485,1,10,19,1,12,0,2,874,0,8195,1,10,21,1,12,0,2,874,0,7194,1,10,23,1,12,0,2,635,0,2840,1,10,25,1,12,0,2,6355,0,5179,1,10,27,1,12,0,,,
