TAS,TAS05,TAS07,TAS09,TAS11,TAS13,TAS15,TAS17,TAS19,ER30000,ER30001,ER30002,ER31988,ER31989,ER32000,ER32022,ER32034,ER32036,ER32049,V17701,V17798,ER30642,ER30643,ER30644,ER30645,ER30653,ER30657,ER30659,V19001,V19098,ER30689,ER30690,ER30691,ER30692,ER30699,ER30703,V20301,V20398,ER30733,ER30734,ER30735,ER30736,ER30744,ER30748,ER30806,ER30807,ER30808,ER30809,ER30816,ER30820,ER33101,ER33102,ER33103,ER33104,ER33111,ER33115,ER33201,ER33202,ER33203,ER33204,ER33211,ER33215,ER33301,ER33302,ER33303,ER33304,ER33311,ER33315,ER33401,ER33402,ER33403,ER33404,ER33411,ER33415,ER33501,ER33502,ER33503,ER33504,ER33512,ER33516,ER33601,ER33602,ER33603,ER33604,ER33612,ER33616,ER33701,ER33702,ER33703,ER33704,ER33712,ER33716,ER33801,ER33802,ER33803,ER33804,ER33813,ER33817,ER33838F,TA050001,TA050189,TA050953,ER33901,ER33902,ER33903,ER33904,ER33913,ER33917,ER33938F,TA070001,TA070207,TA070934,ER34001,ER34002,ER34003,ER34004,ER34016,ER34020,ER34032D,TA090001,TA090222,TA090998,ER34101,ER34102,ER34103,ER34104,ER34116,ER34119,ER34144D,TA110001,TA110223,TA111140,ER34201,ER34202,ER34203,ER34204,ER34216,ER34230,ER34251D,TA130001,TA130222,TA131244,ER34301,ER34302,ER34303,ER34305,ER34317,ER34349,ER34401D,TA150001,TA150214,TA151304,ER34501,ER34502,ER34503,ER34504,ER34516,ER34548,ER34639,TA170001,TA170204,TA171991,ER34701,ER34702,ER34703,ER34704,ER34716,ER34752,ER34848,TA190001,TA190257,TA192198
3,,,,,,1,1,1,3,7,47,0,0,2,0,0,9999,2,3,5,1467,0,0,0,0,0,0,3,6,1681,0,0,0,0,0,4,7,1806,0,0,0,0,0,7890,0,0,0,0,0,7115,0,0,0,0,0,428,0,0,0,0,0,994,5,30,1,0,0,5107,4,30,1,0,0,2216,3,30,3,0,0,3075,3,30,5,0,0,6425,4,33,7,0,0,104,4,33,9,0,0,0,,,,2208,3,30,11,0,0,0,,,,4986,3,30,13,0,0,0,,,,6885,3,30,15,0,0,0,,,,8696,72,30,18,0,0,0,,,,6743,2,22,19,3,12,0,2,423,0,5233,2,22,21,1,12,0,2,4220,0,4131,2,22,23,1,12,0,2,4220,0
2,,,,,,,1,1,3,7,48,0,0,2,1,0,9999,2,3,5,1467,0,0,0,0,0,0,3,6,1681,0,0,0,0,0,4,7,1806,0,0,0,0,0,7890,0,0,0,0,0,7115,0,0,0,0,0,428,0,0,0,0,0,994,0,0,0,0,0,5107,5,30,1,0,0,2216,4,30,2,0,0,3075,4,30,4,0,0,6425,5,33,6,0,0,104,5,33,8,0,0,0,,,,2208,4,30,10,0,0,0,,,,4986,4,30,12,0,0,0,,,,6885,4,30,14,0,0,0,,,,8696,73,30,17,0,0,0,,,,7575,5,47,18,0,0,0,,,,6798,1,10,20,3,12,0,2,5240,0,4198,1,10,22,1,12,0,2,3600,0
2,,,,,,,1,1,3,7,49,0,0,2,2,0,9999,2,3,5,2730,0,0,0,0,0,0,3,5,2967,0,0,0,0,0,4,5,1584,0,0,0,0,0,4603,0,0,0,0,0,7114,0,0,0,0,0,6237,0,0,0,0,0,995,0,0,0,0,0,1910,0,0,0,0,0,6278,6,60,1,0,0,6030,4,30,2,0,0,5115,4,30,4,0,0,82,4,30,6,0,0,0,,,,904,4,30,8,0,0,0,,,,272,4,30,10,0,0,0,,,,43,4,30,12,0,0,0,,,,3305,4,30,14,0,0,0,,,,2733,3,30,16,7,9,0,,,,5140,1,10,18,7,11,0,2,0,0,4077,1,10,20,3,11,0,2,0,0
1,,,,,,,,1,3,7,50,0,0,1,0,0,9999,2,3,6,1657,0,0,0,0,0,0,3,6,1347,0,0,0,0,0,4,7,1178,0,0,0,0,0,3091,0,0,0,0,0,7112,0,0,0,0,0,438,0,0,0,0,0,559,0,0,0,0,0,1111,0,0,0,0,0,2670,0,0,0,0,0,7255,3,30,1,0,0,5000,3,30,2,0,0,1394,3,30,3,0,0,0,,,,800,3,30,5,0,0,0,,,,1005,3,30,7,0,0,0,,,,477,3,30,9,0,0,0,,,,5796,2,30,12,0,0,0,,,,3959,2,30,13,0,0,0,,,,5898,2,30,16,3,10,0,,,,4093,2,30,17,1,11,1700,2,6050,0
1,,,,,,,1,,3,7,206,0,0,1,1,0,9999,2,3,5,2730,0,0,0,0,0,0,3,5,2967,0,0,0,0,0,4,5,1584,0,0,0,0,0,4603,0,0,0,0,0,7114,0,0,0,0,0,6237,0,0,0,0,0,995,0,0,0,0,0,1910,0,0,0,0,0,6278,0,0,0,0,0,3133,0,0,0,0,0,6234,0,0,0,0,0,345,0,0,0,0,0,0,,,,178,0,0,0,0,0,0,,,,412,0,0,0,0,0,0,,,,550,0,0,0,0,0,0,,,,6441,2,30,18,0,0,0,,,,48,2,30,20,3,12,0,,,,4873,1,10,22,1,12,0,2,8800,0,4454,1,10,24,1,12,0,,,
4,,,1,,1,1,1,,3,10,34,5,0,2,2,1,2016,1,3,2,4356,0,0,0,0,0,0,3,3,2783,3,30,1,0,0,4,4,4683,4,30,1,0,0,4213,4,30,2,0,0,4678,4,30,3,0,0,4928,4,30,4,0,0,8439,4,30,5,0,0,1336,4,30,6,0,0,1577,3,30,8,0,0,257,3,30,10,0,0,2507,3,30,12,0,0,523,3,30,14,0,0,0,,,,6742,3,30,16,1,11,2560,,,,3276,3,30,18,3,12,4200,3,476,0,8869,1,10,21,1,13,0,,,,7423,2,22,22,3,13,0,2,476,0,5033,1,10,24,1,13,0,2,380,0,1566,2,20,26,1,13,0,2,5400,0,3136,2,20,28,1,13,0,,,
5,,,,1,1,1,1,1,3,10,35,5,0,1,0,0,9999,2,3,2,4356,0,0,0,0,0,0,,,0,0,0,0,0,0,4,4,4683,0,0,0,0,0,4213,5,30,1,0,0,4678,5,30,1,0,0,4928,5,30,2,0,0,8439,5,30,3,0,0,1336,5,30,4,0,0,1577,4,30,6,0,0,257,4,30,8,0,0,2507,4,30,10,0,0,523,4,30,12,0,0,0,,,,6742,4,30,15,0,0,0,,,,3276,4,30,16,7,10,0,,,,8551,3,30,19,3,11,0,2,961,0,7473,3,30,21,1,12,0,2,0,0,5033,4,40,23,3,12,10000,2,0,0,1744,1,10,24,3,12,0,2,0,0,3101,1,10,26,3,12,0,2,0,0
4,1,1,1,1,,,,,3,14,30,5,0,1,1,1,2013,1,3,4,6079,3,30,4,0,0,0,3,4,7789,3,30,5,0,0,4,4,4022,3,30,6,0,0,9,3,30,7,0,0,3852,3,30,8,0,0,2921,3,30,9,0,0,3101,3,30,10,0,0,1179,3,30,11,0,0,1579,3,30,13,0,0,260,3,30,15,0,0,3853,3,30,17,7,11,736,51,30,19,7,13,5580,5,400,0,3621,3,30,21,2,12,15000,4,400,0,5994,3,30,23,1,13,9000,3,401,0,1685,3,30,25,3,12,9000,2,626,0,6491,1,10,27,1,14,0,,,,4735,1,10,29,1,14,0,,,,2521,1,10,32,1,14,0,,,,2738,1,10,34,1,14,0,,,
5,,1,1,1,1,1,,,3,14,31,5,0,2,2,0,9999,2,3,4,6079,4,30,2,0,0,0,3,4,7789,4,30,3,0,0,4,4,4022,4,30,4,0,0,9,4,30,5,0,0,3852,4,30,6,0,0,2921,4,30,7,0,0,3101,4,30,8,0,0,1179,4,30,8,0,0,1579,4,30,11,0,0,260,4,30,13,0,0,3853,4,30,15,0,0,736,3,30,17,1,11,0,,,,4149,2,22,19,1,12,0,4,540,0,713,1,10,21,1,12,0,3,500,0,1780,1,10,23,6,12,0,2,510,0,1284,1,10,25,5,12,0,2,0,0,7731,1,10,27,1,12,0,2,422,0,1669,2,22,29,3,12,0,,,,2897,2,22,31,6,12,0,,,
5,,,,1,1,1,1,1,3,14,32,5,0,1,0,0,9999,2,3,1,7077,0,0,0,0,0,0,3,2,8366,0,0,0,0,0,4,2,1742,0,0,0,0,0,363,3,30,1,0,0,3850,3,30,1,0,0,2920,3,30,2,0,0,2015,3,30,3,0,0,681,3,30,4,0,0,669,3,30,6,0,0,190,3,30,8,0,0,2703,3,30,10,0,0,677,3,30,12,0,0,0,,,,2668,3,30,14,0,0,1000,,,,126,3,30,16,7,11,1800,,,,964,51,30,18,0,0,0,2,192,0,1865,52,30,20,0,0,0,2,186,0,2839,52,30,22,0,0,0,2,215,0,2400,1,10,25,3,17,0,2,2100,0,1484,1,10,26,1,17,0,2,2100,0
