Child_BIRTHS_ALL_YEAR,MARITAL_STATUS_ALL_YEAR,RESID_STATE,AGE,EMPLOYMENT,EDUC_LEVEL,YEAR,marriage_dummies,treatment,women_LFP,post,post_treatment
1,1,26,12,0,0,1,1,1,0,0,0
0,4,26,10,0,0,1,0,1,0,0,0
0,2,26,1,0,0,1,0,1,0,0,0
0,1,26,14,0,0,1,1,1,0,0,0
3,4,26,17,7,10,1,0,1,0,0,0
0,2,26,14,0,0,1,0,1,0,0,0
0,1,26,16,7,10,1,1,1,0,0,0
1,1,40,11,0,0,1,1,1,0,0,0
0,2,26,6,0,0,1,0,1,0,0,0
0,2,48,1,0,0,1,0,1,0,0,0
0,2,24,6,0,0,1,0,0,0,0,0
0,2,25,8,0,0,1,0,1,0,0,0
